original_url,basename,roles,posts,attempts,reasons
https://mothrly.com/wp-content/uploads/2026/05/Third-Trimester-Birth-Preparation.png,third-trimester-birth-preparation.png,featured,third-trimester-preparation,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Gestational-Diabetes-Test.png,gestational-diabetes-test.png,featured,gestational-diabetes-rising-epidemic,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Second-Trimester-Visible-Baby-Bump.png,second-trimester-visible-baby-bump.png,featured,second-trimester-golden-period,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Healthy-Pregnancy-Plate.png,healthy-pregnancy-plate.png,featured,eating-for-two-is-wrong,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/First-Trimester-Pregnancy-Care.png,first-trimester-pregnancy-care.png,featured,first-trimester-what-body-is-doing,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Woman-Reflecting-on-Motherhood.png,woman-reflecting-on-motherhood.png,featured,emotional-readiness-for-motherhood,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Couple-Discussing-Male-Fertility.png,couple-discussing-male-fertility.png,featured,male-fertility-overlooked-half,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Ayurvedic-Herbs-for-Fertility.png,ayurvedic-herbs-for-fertility.png,featured,ayurveda-pre-conception-manual,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Calm-Woman-Practising-Stress-Reduction.png,calm-woman-practising-stress-reduction.png,featured,stress-and-fertility,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Thyroid-Test-for-Fertility.png,thyroid-test-for-fertility.png,featured,thyroid-and-fertility,9,bingimages: below minimum resolution (42x42) | bingimages: too small (502 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Career-Woman-Considering-Fertility.png,career-woman-considering-fertility.png,featured,eggs-ageing-career-woman-fertility,9,bingimages: too small (470 bytes) | bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Indian-Woman-With-PCOS-Speaking-to-a-Doctor.png,indian-woman-with-pcos-speaking-to-a-doctor.png,featured,pcos-what-you-actually-need,9,
https://mothrly.com/wp-content/uploads/2026/05/Woman-Preparing-Her-Body-for-Pregnancy-1.png,woman-preparing-her-body-for-pregnancy-1.png,featured,six-months-pre-conception-preparation,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Couple-Supporting-Each-Other-After-Miscarriage.png,couple-supporting-each-other-after-miscarriage.png,featured,miscarriage-what-you-need-to-know,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Woman-in-Her-30s-Fertility-Journey.png,woman-in-her-30s-fertility-journey.png,featured,late-marriage-fertility-reality,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Young-Couple-With-Newborn-Purpose-of-Family.png,young-couple-with-newborn-purpose-of-family.png,featured,why-families-are-built,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Telling-Stories-to-Her-Child.png,mother-telling-stories-to-her-child.png,featured,stories-you-tell-your-child,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Family-Embrace-The-Real-Love.png,family-embrace-the-real-love.png,featured,what-love-in-a-family-actually-is,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Woman-as-the-Heart-of-the-Family.png,woman-as-the-heart-of-the-family.png,featured,woman-is-the-axis-of-the-family,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/The-Cycle-of-Life-Generations.png,the-cycle-of-life-generations.png,featured,human-cycle-is-sacred,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Two-Indian-Siblings-Playing-Together.png,two-indian-siblings-playing-together.png,featured,the-love-between-siblings,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Father-Participating-in-Childcare.png,father-participating-in-childcare.png,featured,fathers-role-is-not-helping-it-is-participating,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Three-Generations-Family-Legacy.png,three-generations-family-legacy.png,featured,what-is-legacy-really-family-you-build,9,bingimages: too small (418 bytes) | bingimages: too small (424 bytes) | bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-and-Newborn-The-Transformation-1.png,mother-and-newborn-the-transformation-1.png,featured,what-a-child-actually-changes-about-you,9,bingimages: below minimum resolution (42x42) | bingimages: too small (260 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Mother-as-the-Beginning-of-Civilisation.png,mother-as-the-beginning-of-civilisation.png,featured,why-every-mother-is-the-beginning-of-a-civilisation,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/2-WHEELER.png,2-wheeler.png,featured,is-it-safe-to-travel-by-two-wheeler-during-pregnancy,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-04-at-6.47.52-PM.jpeg,whatsapp-image-2026-05-04-at-6.47.52-pm.jpeg,inline,is-it-safe-to-travel-by-two-wheeler-during-pregnancy,9,
https://mothrly.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-28-at-1.33.57-PM-1.jpeg,whatsapp-image-2026-04-28-at-1.33.57-pm-1.jpeg,inline|featured,is-it-safe-to-travel-by-two-wheeler-during-pregnancy|is-folic-acid-enough-in-first-trimester|why-do-i-feel-so-cold-during-early-pregnancy|can-you-eat-methi-during-first-trimester|is-jeera-water-safe-to-drink-in-first-trimester|how-to-reduce-morning-sickness-naturally-at-home|can-stress-cause-miscarriage-in-first-trimester|is-brown-discharge-normal-in-early-pregnancy|how-to-confirm-pregnancy-at-home-without-a-kit|first-signs-of-pregnancy-in-indian-women|why-is-my-breast-milk-not-coming-causes-and-easy-solutions|what-to-drink-to-boost-breast-milk-production-at-home,9,
